wishedOnDate ,watchedOnDate ,rating ,genres            ,sourceUrl
             ,"2024-09-08"  ,   4.0 ,"Science fiction" ,"https://www.themoviedb.org/movie/286217-the-martian"
"2024-09-10" ,              ,       ,"Documentary"     ,"https://www.themoviedb.org/movie/1315535-eno"
             ,"2024-09-12"  ,   3.5 ,"Crime"           ,"https://www.themoviedb.org/movie/59-a-history-of-violence"
"2024-09-14" ,              ,       ,"Thriller"        ,"https://www.themoviedb.org/movie/840705-blink-twice"
"2024-09-14" ,              ,       ,"Horror"          ,"https://www.themoviedb.org/movie/1114513-speak-no-evil"
             ,"2024-09-15"  ,   4.0 ,"War"             ,"https://www.themoviedb.org/movie/929590-civil-war"
             ,"2024-10-13"  ,   2.0 ,"Comedy"          ,"https://www.themoviedb.org/movie/877817-wolfs"
             ,"2024-10-16"  ,   3.0 ,"Action"          ,"https://www.themoviedb.org/movie/533535-deadpool-wolverine"
             ,"2024-10-26"  ,   2.0 ,"Drama"           ,"https://www.themoviedb.org/movie/249688-the-end-of-the-tour"
             ,"2024-10-26"  ,   3.5 ,"Crime"           ,"https://www.themoviedb.org/movie/308266-war-dogs"
             ,"2024-12-09"  ,   3.0 ,"Crime"           ,"https://www.themoviedb.org/movie/889737-joker-folie-a-deux"
             ,"2024-12-17"  ,   0.5 ,"Drama"           ,"https://www.themoviedb.org/movie/592831-megalopolis"
